,duration,erotism,rhythm,filmtv_id,humor,effort,year,critics_vote,public_vote,total_votes,tension,avg_vote
319,96,0,2,507,2,0,1954,6,6,5,1,5.9
320,95,0,3,509,1,0,1983,4.67,4,10,2,4.2
321,105,0,2,510,0,0,1992,6,6,7,1,6.1
322,92,0,2,511,0,0,1973,4.5,7,51,1,5.8
323,90,1,1,512,0,4,1961,8.74,7,104,2,7.8
324,115,1,3,513,1,3,1982,7.4,7,93,3,7.3
325,106,1,3,514,1,0,1991,6,10,3,1,8
326,90,2,2,515,1,0,1992,6,7,3,2,6.5
327,101,0,2,519,0,2,1983,8,6,13,2,7
328,99,0,2,520,0,2,1983,6.83,7,29,2,7
329,115,3,3,521,2,2,1974,5,6,55,3,5.5
330,100,0,1,522,0,4,1991,8.5,7,7,2,7.6
331,87,0,2,523,0,4,1963,7,7,5,1,7
332,100,2,4,524,2,2,1923,9.33,9,12,1,9.4
333,69,0,0,526,0,0,1930,7,7,4,0,7
334,90,0,1,528,0,1,1949,3.75,1,5,1,2.4
335,90,0,2,529,2,0,1975,3.33,8,4,0,5.7
336,86,1,2,530,1,0,1990,4,5,11,1,4.6
337,87,2,2,534,2,1,1963,7.46,7,70,2,7.5
338,96,0,2,535,0,0,1980,4.75,5,36,2,5
339,68,0,2,536,1,0,1944,6,7,11,0,6.7
340,90,1,3,537,3,0,1962,8,8,3,1,7.8
341,102,0,2,540,0,0,1954,4.5,6,8,2,5.1
342,99,0,2,541,0,2,1988,4.5,5,22,2,4.9
343,96,2,3,543,3,0,1987,7,7,88,1,6.8
344,100,1,2,546,0,1,1975,5,5,18,2,5.2
345,105,0,2,547,1,0,1987,3,4,11,1,3.7
346,91,2,2,548,1,0,1977,4,5,6,0,4.3
347,79,0,2,550,0,0,1990,2,6,7,1,3.8
348,111,0,2,552,2,0,1968,8,7,40,1,7.3
349,101,0,2,553,1,0,1952,6.5,5,10,1,5.8
350,95,0,2,554,0,2,1948,7.8,7,18,2,7.2
351,60,0,0,557,0,0,1925,7,8,12,0,7.3
352,103,0,2,559,0,0,1988,4,4,13,2,4.2
353,114,0,2,560,0,0,1955,7.5,6,10,2,6.9
354,105,0,2,561,1,1,1990,7,6,78,3,6.7
355,98,2,3,562,3,1,1979,5.73,5,39,0,5.5
356,105,2,2,563,2,0,1969,4,6,20,2,5
357,101,0,3,565,1,0,1955,6,6,13,1,6.1
358,107,0,2,566,1,0,1971,3,6,19,1,4.4
359,87,0,2,567,1,2,1987,8,7,20,3,7.4
360,77,0,2,569,2,0,1960,6,6,4,1,5.8
361,124,0,3,570,1,2,1943,7.63,8,26,2,7.9
362,120,0,2,571,0,1,1948,6.57,7,27,3,6.7
363,93,0,2,574,0,0,1985,3.5,7,8,2,5.1
364,92,0,2,575,0,0,1934,4.67,5,14,2,4.8
365,95,0,2,576,1,0,1963,6.8,8,65,2,7.3
366,102,2,2,577,1,1,1987,6.4,6,15,1,6.2
367,63,0,2,578,2,0,1933,6,7,3,0,6.3
368,115,2,2,579,2,4,1990,8.33,7,40,2,7.6
369,107,0,2,580,0,4,1989,6.6,7,44,2,6.6
370,108,0,2,581,0,3,1978,8,5,3,3,6.5
371,95,0,2,582,0,0,1966,5.2,5,13,1,5.1
372,102,0,2,583,1,0,1970,4.5,5,13,1,4.6
373,89,0,2,584,0,0,1957,4,5,17,1,4.7
374,106,0,3,586,1,0,1987,7.11,7,222,3,7.2
375,114,1,3,587,2,1,1989,6.75,7,166,3,6.8
376,91,0,2,588,0,0,1990,5,6,27,2,5.3
377,140,0,3,590,0,4,1969,8.15,8,67,4,8
378,105,0,2,591,0,4,1983,6.33,6,15,2,6.3
379,94,1,2,592,0,0,1987,6,5,4,2,5.3
380,93,0,2,593,0,0,1963,6,5,5,2,5.4
381,106,0,2,594,2,0,1971,6,6,28,0,5.9
382,106,1,2,596,3,1,1959,7.15,7,88,1,7.2
383,96,0,2,600,2,0,1967,4.86,6,29,1,5.5
384,135,0,2,602,2,3,1941,7.78,8,76,1,7.6
385,95,0,2,603,1,0,1970,4.5,4,13,2,4.1
386,120,0,2,604,0,1,1978,6.91,7,37,2,6.8
387,78,0,2,605,1,0,1953,6,3,3,0,4.5
388,89,0,2,606,1,1,1970,3.33,3,12,2,3.2
389,120,2,3,608,2,2,1980,4.83,6,20,2,5.3
390,89,0,2,610,2,0,1957,5.29,6,38,0,5.7
391,108,0,0,611,0,0,1986,6,6,7,0,5.8
392,95,0,2,612,2,0,1980,5,5,49,0,5.2
393,95,2,1,613,2,0,1983,3.33,5,9,1,3.9
394,112,0,3,614,2,0,1951,5.5,5,10,1,5.4
395,110,1,3,615,2,0,1962,6.67,8,59,0,7.2
396,118,0,2,617,2,0,1940,7,7,5,1,7
397,103,0,2,619,1,4,1987,7.96,8,166,3,7.8
398,113,0,3,624,3,2,1944,8.23,8,212,2,8.2
399,85,0,2,625,2,1,1937,7.33,8,9,1,7.6
400,88,0,0,626,0,0,1991,4,7,3,0,5.5
401,97,0,2,627,2,0,1981,6.7,7,34,1,6.9
402,98,0,3,628,1,1,1983,7.33,6,62,3,6.6
403,120,1,3,629,3,2,1990,7,8,10,3,7.6
404,72,2,3,630,0,3,1929,8,8,8,3,7.9
405,110,0,2,631,0,1,1960,7.75,8,56,3,7.6
406,118,1,2,632,0,0,1979,3.67,5,19,1,4.5
407,93,1,1,633,1,0,1986,4,4,7,0,3.8
408,105,1,2,634,1,0,1989,4,6,14,0,4.8
409,87,0,0,637,0,0,1950,6,6,4,0,6
410,89,0,3,638,0,0,1986,5,5,18,1,4.8
411,85,0,2,646,0,0,1973,4,4,4,1,4
412,108,0,2,648,1,0,1980,5.71,6,48,2,5.9
413,138,2,3,651,2,3,1968,7.33,7,28,2,7.3
414,100,0,2,653,0,1,1994,8,9,3,3,8.5
415,129,0,2,655,1,0,1975,6.15,6,81,3,6.3
416,84,0,3,657,2,0,1942,7.5,8,34,2,7.5
417,95,0,2,662,1,1,1973,6.33,6,24,2,6.1
418,87,1,2,665,0,0,1981,7,6,51,3,6.6
419,112,0,2,669,1,0,1940,5.8,7,7,2,6.4
420,97,0,2,672,2,0,1967,2,3,10,1,2.3
421,91,1,0,673,1,0,1981,4,4,12,0,4.1
422,95,1,1,674,3,0,1981,4.89,5,90,0,5.2
423,112,1,3,675,1,2,1951,8.28,9,155,3,8.5
424,91,1,3,676,2,0,1952,8,7,10,2,7.7
425,103,0,2,677,1,3,1981,7.25,7,39,3,6.9
426,81,0,3,679,3,0,1989,6.67,7,35,0,6.8
427,82,0,2,680,0,1,1955,7.5,7,38,3,7.3
428,78,0,2,682,0,3,1991,6,6,13,0,6
429,92,0,2,683,0,3,1982,8,8,16,0,7.8
430,104,0,2,684,0,1,1971,4,5,14,1,4.7
431,80,0,0,685,0,0,1954,6,6,7,0,5.8
432,90,0,0,686,0,0,1968,4,5,3,0,4.3
433,93,0,2,687,0,0,1979,7,6,21,2,6.3
434,108,0,3,690,3,0,1951,6.67,7,9,0,6.8
435,110,0,0,691,0,0,1971,6,7,6,0,6.5
436,105,1,2,692,2,1,1977,6.67,5,15,1,6
437,110,2,2,693,1,0,1976,4.29,5,27,0,4.4
438,102,0,2,694,2,0,1990,6,5,8,1,5.5
439,95,0,2,695,2,0,1962,5,6,9,1,5.3
440,100,0,2,696,0,0,1953,4.33,6,15,1,5
441,129,0,3,698,1,3,1989,7.39,8,472,2,7.6
442,108,0,2,699,0,1,1990,2.5,4,9,2,3.3
443,109,2,3,700,1,1,1990,7.05,7,279,3,7.1
444,120,2,2,702,0,1,1987,7.05,7,165,3,6.9
445,90,0,2,706,1,0,1951,2,3,3,1,2.5
446,118,1,2,707,0,0,1989,6,6,8,2,6.1
447,82,2,3,708,0,3,1978,8.14,7,78,3,7.8
448,100,1,3,710,0,1,1990,8,6,3,3,6.8
449,85,0,2,711,0,0,1979,5,4,12,2,4.7
450,82,0,2,712,2,0,1942,6.88,7,32,2,6.8
